bean_name;bean_details
MemoryPoolImpl;Usage.committed
MemoryPoolImpl;Usage.init
MemoryPoolImpl;Usage.max
MemoryPoolImpl;Usage.used
MemoryPoolImpl;PeakUsage.committed
MemoryPoolImpl;PeakUsage.init
MemoryPoolImpl;PeakUsage.max
MemoryPoolImpl;PeakUsage.used
MemoryPoolImpl;MemoryManagerNames#0
MemoryPoolImpl;UsageThreshold
MemoryPoolImpl;UsageThresholdExceeded
MemoryPoolImpl;UsageThresholdCount
MemoryPoolImpl;UsageThresholdSupported
MemoryPoolImpl;CollectionUsageThreshold
MemoryPoolImpl;CollectionUsageThresholdExceeded
MemoryPoolImpl;CollectionUsageThresholdCount
MemoryPoolImpl;CollectionUsage.committed
MemoryPoolImpl;CollectionUsage.init
MemoryPoolImpl;CollectionUsage.max
MemoryPoolImpl;CollectionUsage.used
MemoryPoolImpl;CollectionUsageThresholdSupported
MemoryPoolImpl;Name
MemoryPoolImpl;Type
MemoryPoolImpl;Valid
MemoryPoolImpl;Usage.committed
MemoryPoolImpl;Usage.init
MemoryPoolImpl;Usage.max
MemoryPoolImpl;Usage.used
MemoryPoolImpl;PeakUsage.committed
MemoryPoolImpl;PeakUsage.init
MemoryPoolImpl;PeakUsage.max
MemoryPoolImpl;PeakUsage.used
MemoryPoolImpl;MemoryManagerNames#0
MemoryPoolImpl;UsageThreshold
MemoryPoolImpl;UsageThresholdExceeded
MemoryPoolImpl;UsageThresholdCount
MemoryPoolImpl;UsageThresholdSupported
MemoryPoolImpl;CollectionUsageThreshold
MemoryPoolImpl;CollectionUsageThresholdExceeded
MemoryPoolImpl;CollectionUsageThresholdCount
MemoryPoolImpl;CollectionUsage.committed
MemoryPoolImpl;CollectionUsage.init
MemoryPoolImpl;CollectionUsage.max
MemoryPoolImpl;CollectionUsage.used
MemoryPoolImpl;CollectionUsageThresholdSupported
MemoryPoolImpl;Name
MemoryPoolImpl;Type
MemoryPoolImpl;Valid
UnixOperatingSystem;OpenFileDescriptorCount
UnixOperatingSystem;MaxFileDescriptorCount
UnixOperatingSystem;CommittedVirtualMemorySize
UnixOperatingSystem;TotalSwapSpaceSize
UnixOperatingSystem;FreeSwapSpaceSize
UnixOperatingSystem;ProcessCpuTime
UnixOperatingSystem;FreePhysicalMemorySize
UnixOperatingSystem;TotalPhysicalMemorySize
UnixOperatingSystem;AvailableProcessors
UnixOperatingSystem;Arch
UnixOperatingSystem;SystemLoadAverage
UnixOperatingSystem;Name
UnixOperatingSystem;Version
Logging;LoggerNames#0
Logging;LoggerNames#1
Logging;LoggerNames#2
Logging;LoggerNames#3
Logging;LoggerNames#4
Logging;LoggerNames#5
Logging;LoggerNames#6
Logging;LoggerNames#7
Logging;LoggerNames#8
Logging;LoggerNames#9
Logging;LoggerNames#10
Logging;LoggerNames#11
Logging;LoggerNames#12
Logging;LoggerNames#13
CompilationImpl;CompilationTimeMonitoringSupported
CompilationImpl;TotalCompilationTime
CompilationImpl;Name
MBeanServerDelegate;MBeanServerId
MBeanServerDelegate;SpecificationName
MBeanServerDelegate;SpecificationVersion
MBeanServerDelegate;SpecificationVendor
MBeanServerDelegate;ImplementationName
MBeanServerDelegate;ImplementationVersion
MBeanServerDelegate;ImplementationVendor
MemoryImpl;Verbose
MemoryImpl;ObjectPendingFinalizationCount
MemoryImpl;HeapMemoryUsage.committed
MemoryImpl;HeapMemoryUsage.init
MemoryImpl;HeapMemoryUsage.max
MemoryImpl;HeapMemoryUsage.used
MemoryImpl;NonHeapMemoryUsage.committed
MemoryImpl;NonHeapMemoryUsage.init
MemoryImpl;NonHeapMemoryUsage.max
MemoryImpl;NonHeapMemoryUsage.used
MemoryPoolImpl;Usage.committed
MemoryPoolImpl;Usage.init
MemoryPoolImpl;Usage.max
MemoryPoolImpl;Usage.used
MemoryPoolImpl;PeakUsage.committed
MemoryPoolImpl;PeakUsage.init
MemoryPoolImpl;PeakUsage.max
MemoryPoolImpl;PeakUsage.used
MemoryPoolImpl;MemoryManagerNames#0
MemoryPoolImpl;MemoryManagerNames#1
MemoryPoolImpl;UsageThresholdSupported
MemoryPoolImpl;CollectionUsageThreshold
MemoryPoolImpl;CollectionUsageThresholdExceeded
MemoryPoolImpl;CollectionUsageThresholdCount
MemoryPoolImpl;CollectionUsage.committed
MemoryPoolImpl;CollectionUsage.init
MemoryPoolImpl;CollectionUsage.max
MemoryPoolImpl;CollectionUsage.used
MemoryPoolImpl;CollectionUsageThresholdSupported
MemoryPoolImpl;Name
MemoryPoolImpl;Type
MemoryPoolImpl;Valid
RuntimeImpl;BootClassPathSupported
RuntimeImpl;VmName
RuntimeImpl;VmVendor
RuntimeImpl;VmVersion
RuntimeImpl;LibraryPath
RuntimeImpl;BootClassPath
RuntimeImpl;ManagementSpecVersion
RuntimeImpl;SpecName
RuntimeImpl;SpecVendor
RuntimeImpl;SpecVersion
RuntimeImpl;InputArguments#0
RuntimeImpl;Uptime
RuntimeImpl;SystemProperties."java.ext.dirs"
RuntimeImpl;SystemProperties."java.vm.specification.vendor"
RuntimeImpl;SystemProperties."user.timezone"
RuntimeImpl;SystemProperties."java.vm.vendor"
RuntimeImpl;SystemProperties."user.name"
RuntimeImpl;SystemProperties."java.vm.specification.name"
RuntimeImpl;SystemProperties."user.dir"
RuntimeImpl;SystemProperties."user.country"
RuntimeImpl;SystemProperties."user.language"
RuntimeImpl;SystemProperties."java.specification.version"
RuntimeImpl;SystemProperties."sun.cpu.endian"
RuntimeImpl;SystemProperties."java.home"
RuntimeImpl;SystemProperties."sun.jnu.encoding"
RuntimeImpl;SystemProperties."file.separator"
RuntimeImpl;SystemProperties."java.vendor.url"
RuntimeImpl;SystemProperties."java.awt.graphicsenv"
RuntimeImpl;SystemProperties."os.arch"
RuntimeImpl;SystemProperties."java.io.tmpdir"
RuntimeImpl;SystemProperties."java.runtime.name"
RuntimeImpl;SystemProperties."java.awt.printerjob"
RuntimeImpl;SystemProperties."file.encoding"
RuntimeImpl;SystemProperties."java.version"
